user_id,age_group,gender
U_10119,45+,M
U_10120,25-34,F
U_10121,35-44,M
U_10122,45+,M
U_10123,25-34,F
U_10124,18-24,F
U_10125,18-24,M
U_10126,25-34,F
U_10127,35-44,F
U_10128,45+,F
U_10129,18-24,F
U_10130,25-34,F
U_10131,25-34,unknown
U_10132,18-24,M
U_10133,18-24,F
U_10134,25-34,F
U_10135,45+,M
U_10136,25-34,M
U_10137,25-34,M
U_10138,35-44,F
U_10139,25-34,F
U_10140,45+,F
U_10141,45+,M
U_10142,25-34,F
U_10143,25-34,unknown
U_10144,25-34,M
U_10145,25-34,F
U_10146,18-24,F
U_10147,35-44,F
U_10148,25-34,F
U_10149,18-24,F
U_10150,25-34,M
U_10151,45+,F
U_10152,18-24,M
U_10153,18-24,M
U_10154,25-34,M
U_10155,45+,F
U_10156,18-24,M
U_10157,35-44,M
U_10158,35-44,M
U_10159,18-24,unknown
U_10160,35-44,F
U_10161,25-34,F
U_10162,35-44,F
U_10163,35-44,F
U_10164,25-34,M
U_10165,18-24,unknown
U_10166,35-44,M
U_10167,25-34,M
U_10168,18-24,M
U_10169,18-24,F
U_10170,25-34,F
U_10171,35-44,F
U_10172,18-24,M
U_10173,25-34,F
U_10174,18-24,M
U_10175,35-44,M
U_10176,18-24,M
U_10177,35-44,F
U_10178,25-34,M
U_10179,45+,F
U_10180,18-24,F
U_10181,25-34,F
U_10182,18-24,F
U_10183,45+,M
U_10184,45+,M
U_10185,25-34,F
U_10186,35-44,F
U_10187,35-44,F
U_10188,25-34,F
U_10189,25-34,M
U_10190,18-24,M
U_10191,18-24,F
U_10192,45+,M
U_10193,45+,M
U_10194,35-44,F
U_10195,25-34,M
U_10196,25-34,unknown
U_10197,35-44,F
U_10198,45+,F
U_10199,45+,M
U_10200,35-44,M
U_10201,35-44,F
U_10202,18-24,M
U_10203,18-24,M
U_10204,45+,M
U_10205,35-44,M
U_10206,18-24,M
U_10207,18-24,F
U_10208,35-44,M
U_10209,18-24,M
U_10210,18-24,F
U_10211,25-34,unknown
U_10212,35-44,M
U_10213,35-44,M
U_10214,18-24,F
U_10215,35-44,unknown
U_10216,18-24,F
U_10217,25-34,F
U_10218,35-44,M
U_10219,35-44,F
U_10220,35-44,M
U_10221,35-44,F
U_10222,25-34,F
U_10223,18-24,unknown
U_10224,25-34,M
U_10225,25-34,M
U_10226,18-24,F
U_10227,45+,F
U_10228,25-34,F
U_10229,45+,M
U_10230,35-44,M
U_10231,35-44,F
U_10232,25-34,M
U_10233,25-34,F
U_10234,25-34,F
U_10235,18-24,F
U_10236,35-44,F
U_10237,25-34,F
U_10238,18-24,M
U_10239,35-44,F
U_10240,18-24,M
U_10241,45+,F
U_10242,45+,M
U_10243,45+,F
U_10244,25-34,M
U_10245,18-24,M
U_10246,45+,unknown
U_10247,25-34,M
U_10248,45+,F
U_10249,45+,unknown
U_10250,45+,M
U_10251,25-34,F
U_10252,25-34,M
U_10253,45+,M
U_10254,25-34,M
U_10255,18-24,unknown
U_10256,25-34,M
U_10257,45+,F
U_10258,35-44,F
U_10259,25-34,F
U_10260,18-24,M
U_10261,35-44,F
U_10262,45+,F
U_10263,18-24,F
U_10264,25-34,unknown
U_10265,45+,F
U_10266,35-44,M
U_10267,35-44,F
U_10268,35-44,M
U_10269,25-34,M
U_10270,25-34,F
U_10271,35-44,M
U_10272,35-44,M
U_10273,45+,unknown
U_10274,45+,M
U_10275,25-34,unknown
U_10276,25-34,F
U_10277,35-44,F
U_10278,35-44,F
U_10279,35-44,M
U_10280,35-44,M
U_10281,45+,M
U_10282,25-34,M
U_10283,25-34,unknown
U_10284,18-24,F
U_10285,25-34,M
U_10286,18-24,M
U_10287,25-34,M
U_10288,25-34,M
U_10289,25-34,F
U_10290,25-34,M
U_10291,18-24,F
U_10292,18-24,M
U_10293,35-44,M
U_10294,25-34,F
U_10295,18-24,F
U_10296,25-34,unknown
U_10297,35-44,F
U_10298,18-24,M
U_10299,35-44,M
U_10300,18-24,F
U_10301,18-24,unknown
U_10302,25-34,F
U_10303,25-34,M
U_10304,35-44,unknown
U_10305,35-44,M
U_10306,45+,F
U_10307,25-34,unknown
U_10308,25-34,M
U_10309,35-44,unknown
U_10310,25-34,M
U_10311,25-34,unknown
U_10312,18-24,M
U_10313,18-24,unknown
U_10314,45+,M
U_10315,35-44,F
U_10316,35-44,F
U_10317,25-34,F
U_10318,18-24,M
U_10319,18-24,F
U_10320,25-34,M
U_10321,25-34,F
U_10322,35-44,M
U_10323,35-44,unknown
U_10324,25-34,M
U_10325,45+,M
U_10326,35-44,M
U_10327,25-34,M
U_10328,35-44,M
U_10329,25-34,F
U_10330,18-24,F
U_10331,25-34,F
U_10332,35-44,F
U_10333,18-24,M
U_10334,18-24,F
U_10335,18-24,M
U_10336,18-24,F
U_10337,45+,M
U_10338,35-44,M
U_10339,25-34,M
U_10340,18-24,F
U_10341,25-34,M
U_10342,25-34,F
U_10343,18-24,M
U_10344,25-34,F
U_10345,25-34,unknown
U_10346,35-44,M
U_10347,35-44,F
U_10348,18-24,unknown
U_10349,25-34,F
U_10350,35-44,F
U_10351,25-34,F
U_10352,45+,F
U_10353,35-44,M
U_10354,18-24,F
U_10355,18-24,M
U_10356,35-44,M
U_10357,18-24,F
U_10358,25-34,M
U_10359,45+,M
U_10360,25-34,F
U_10361,25-34,F
U_10362,35-44,F
U_10363,25-34,unknown
U_10364,25-34,F
U_10365,45+,M
U_10366,25-34,M
U_10367,45+,F
U_10368,45+,M
U_10369,18-24,F
U_10370,18-24,F
U_10371,18-24,M
U_10372,18-24,unknown
U_10373,18-24,F
U_10374,35-44,F
U_10375,18-24,unknown
U_10376,25-34,F
U_10377,35-44,M
U_10378,18-24,F
U_10379,35-44,F
U_10380,25-34,F
U_10381,18-24,F
U_10382,35-44,F
U_10383,35-44,M
U_10384,45+,F
U_10385,35-44,F
U_10386,35-44,M
U_10387,25-34,M
U_10388,18-24,unknown
U_10389,35-44,F
U_10390,35-44,F
U_10391,45+,F
U_10392,25-34,F
U_10393,25-34,F
U_10394,35-44,F
U_10395,25-34,M
U_10396,45+,F
U_10397,45+,F
U_10398,25-34,F
U_10399,35-44,F
U_10400,35-44,F
U_10401,18-24,M
U_10402,45+,M
U_10403,25-34,M
U_10404,35-44,M
U_10405,25-34,unknown
U_10406,45+,M
U_10407,25-34,M
U_10408,18-24,F
U_10409,45+,F
U_10410,18-24,M
U_10411,25-34,F
U_10412,45+,F
U_10413,45+,M
U_10414,25-34,M
U_10415,35-44,unknown
U_10416,25-34,F
U_10417,25-34,F
U_10418,25-34,M
U_10419,35-44,M
U_10420,35-44,F
U_10421,35-44,M
U_10422,35-44,M
U_10423,18-24,F
U_10424,25-34,M
U_10425,18-24,F
U_10426,25-34,F
U_10427,25-34,M
U_10428,45+,F
U_10429,25-34,M
U_10430,18-24,F
U_10431,18-24,M
U_10432,35-44,M
U_10433,35-44,F
U_10434,18-24,F
U_10435,18-24,unknown
U_10436,35-44,M
U_10437,18-24,M
U_10438,35-44,F
U_10439,35-44,F
U_10440,18-24,M
U_10441,18-24,F
U_10442,45+,F
U_10443,25-34,F
U_10444,25-34,unknown
U_10445,35-44,M
U_10446,45+,F
U_10447,45+,M
U_10448,35-44,F
U_10449,25-34,F
U_10450,18-24,unknown
U_10451,35-44,F
U_10452,25-34,unknown
U_10453,25-34,F
U_10454,45+,unknown
U_10455,18-24,F
U_10456,25-34,F
U_10457,18-24,M
U_10458,25-34,M
U_10459,18-24,M
U_10460,18-24,F
U_10461,18-24,F
U_10462,35-44,F
U_10463,35-44,unknown
U_10464,25-34,unknown
U_10465,45+,M
U_10466,25-34,M
U_10467,25-34,M
U_10468,45+,M
U_10469,18-24,F
U_10470,45+,F
U_10471,18-24,F
U_10472,45+,F
U_10473,18-24,F
U_10474,45+,M
U_10475,25-34,F
U_10476,45+,M
U_10477,18-24,M
U_10478,25-34,M
U_10479,45+,F
U_10480,25-34,M
U_10481,35-44,M
U_10482,35-44,F
U_10483,25-34,F
U_10484,35-44,M
U_10485,25-34,M
U_10486,45+,F
U_10487,18-24,M
U_10488,25-34,unknown
U_10489,45+,F
U_10490,45+,M
U_10491,25-34,M
U_10492,35-44,M
U_10493,25-34,M
U_10494,18-24,M
U_10495,25-34,F
U_10496,25-34,M
U_10497,25-34,F
U_10498,18-24,F
U_10499,45+,M
U_10500,45+,M
U_10501,35-44,M
U_10502,25-34,M
U_10503,25-34,F
U_10504,35-44,M
U_10505,35-44,F
U_10506,18-24,M
U_10507,45+,F
U_10508,35-44,F
U_10509,45+,F
U_10510,35-44,M
U_10511,35-44,M
U_10512,25-34,F
U_10513,45+,M
U_10514,45+,M
U_10515,18-24,F
U_10516,18-24,F
U_10517,25-34,F
U_10518,35-44,F
U_10519,45+,F
U_10520,18-24,F
U_10521,25-34,F
U_10522,25-34,F
U_10523,45+,F
U_10524,35-44,M
U_10525,35-44,M
U_10526,25-34,F
U_10527,25-34,F
U_10528,25-34,M
U_10529,18-24,F
U_10530,45+,M
U_10531,35-44,F
U_10532,45+,F
U_10533,45+,unknown
U_10534,25-34,M
U_10535,35-44,F
U_10536,45+,M
U_10537,35-44,M
U_10538,18-24,M
U_10539,25-34,F
U_10540,18-24,F
U_10541,45+,M
U_10542,35-44,F
U_10543,18-24,F
U_10544,35-44,F
U_10545,35-44,unknown
U_10546,25-34,M
U_10547,18-24,unknown
U_10548,35-44,F
U_10549,25-34,M
U_10550,35-44,M
U_10551,25-34,M
U_10552,45+,M
U_10553,25-34,F
U_10554,25-34,F
U_10555,45+,F
U_10556,25-34,F
U_10557,18-24,M
U_10558,18-24,F
U_10559,35-44,M
U_10560,35-44,unknown
U_10561,35-44,M
U_10562,18-24,unknown
U_10563,18-24,M
U_10564,18-24,M
U_10565,25-34,M
U_10566,25-34,F
U_10567,25-34,F
U_10568,25-34,M
U_10569,45+,unknown
U_10570,25-34,F
U_10571,25-34,F
U_10572,35-44,F
U_10573,25-34,M
U_10574,35-44,M
U_10575,45+,unknown
U_10576,45+,unknown
U_10577,18-24,unknown
U_10578,45+,unknown
U_10579,25-34,M
U_10580,25-34,F
U_10581,25-34,M
U_10582,45+,unknown
U_10583,25-34,F
U_10584,25-34,F
U_10585,35-44,F
U_10586,18-24,M
U_10587,18-24,M
U_10588,18-24,F
U_10589,18-24,F
U_10590,18-24,M
U_10591,18-24,F
U_10592,35-44,F
U_10593,18-24,M
U_10594,25-34,M
U_10595,45+,F
U_10596,25-34,F
U_10597,35-44,F
U_10598,18-24,F
U_10599,18-24,M
U_10600,18-24,F
U_10601,18-24,M
U_10602,25-34,M
U_10603,18-24,F
U_10604,18-24,unknown
U_10605,18-24,M
U_10606,25-34,M
U_10607,18-24,F
U_10608,25-34,F
U_10609,25-34,F
U_10610,35-44,F
U_10611,18-24,F
U_10612,35-44,F
U_10613,35-44,M
U_10614,18-24,M
U_10615,45+,M
U_10616,45+,F
U_10617,18-24,unknown
U_10618,25-34,F
U_10619,35-44,M
U_10620,35-44,M
U_10621,18-24,M
U_10622,18-24,M
U_10623,25-34,F
U_10624,25-34,unknown
U_10625,35-44,unknown
U_10626,25-34,F
U_10627,25-34,F
U_10628,35-44,F
U_10629,18-24,M
U_10630,25-34,F
U_10631,35-44,F
U_10632,45+,F
U_10633,25-34,M
U_10634,25-34,M
U_10635,18-24,M
U_10636,25-34,unknown
U_10637,25-34,M
U_10638,18-24,F
U_10639,25-34,F
U_10640,25-34,M
U_10641,18-24,F
U_10642,25-34,F
U_10643,18-24,F
U_10644,25-34,unknown
U_10645,18-24,M
U_10646,45+,M
U_10647,25-34,F
U_10648,35-44,F
U_10649,35-44,unknown
U_10650,25-34,F
U_10651,18-24,unknown
U_10652,25-34,F
U_10653,25-34,F
U_10654,35-44,F
U_10655,25-34,M
U_10656,18-24,unknown
U_10657,25-34,M
U_10658,25-34,F
U_10659,35-44,M
U_10660,25-34,F
U_10661,25-34,F
U_10662,45+,M
U_10663,35-44,F
U_10664,18-24,M
U_10665,18-24,F
U_10666,18-24,M
U_10667,18-24,M
U_10668,18-24,M
U_10669,18-24,F
U_10670,25-34,M
U_10671,18-24,unknown
U_10672,45+,M
U_10673,18-24,M
U_10674,25-34,M
U_10675,25-34,M
U_10676,45+,F
U_10677,18-24,F
U_10678,25-34,F
U_10679,45+,M
U_10680,45+,M
U_10681,35-44,F
U_10682,25-34,unknown
U_10683,18-24,M
U_10684,35-44,F
U_10685,45+,M
U_10686,25-34,M
U_10687,25-34,F
U_10688,25-34,M
U_10689,35-44,F
U_10690,18-24,M
U_10691,25-34,F
U_10692,25-34,M
U_10693,25-34,unknown
U_10694,18-24,M
U_10695,18-24,F
U_10696,35-44,F
U_10697,25-34,unknown
U_10698,25-34,F
U_10699,18-24,F
U_10700,25-34,M
U_10701,25-34,M
U_10702,18-24,M
U_10703,25-34,M
U_10704,18-24,unknown
U_10705,18-24,M
U_10706,45+,F
U_10707,25-34,F
U_10708,35-44,F
U_10709,25-34,F
U_10710,35-44,M
U_10711,35-44,F
U_10712,25-34,M
U_10713,25-34,unknown
U_10714,25-34,F
U_10715,25-34,unknown
U_10716,45+,M
U_10717,35-44,M
U_10718,45+,M
U_10719,18-24,M
U_10720,35-44,M
U_10721,45+,F
U_10722,18-24,M
U_10723,18-24,F
U_10724,35-44,F
U_10725,25-34,F
U_10726,35-44,M
U_10727,18-24,M
U_10728,35-44,F
U_10729,18-24,M
U_10730,18-24,F
U_10731,18-24,M
U_10732,35-44,F
U_10733,35-44,F
U_10734,25-34,F
U_10735,25-34,M
U_10736,45+,M
U_10737,25-34,F
U_10738,35-44,F
U_10739,25-34,M
U_10740,25-34,M
U_10741,25-34,M
U_10742,25-34,F
U_10743,35-44,M
U_10744,25-34,F
U_10745,18-24,F
U_10746,45+,F
U_10747,25-34,F
U_10748,25-34,F
U_10749,45+,F
U_10750,35-44,M
U_10751,18-24,M
U_10752,45+,F
U_10753,35-44,F
U_10754,25-34,F
U_10755,18-24,M
U_10756,35-44,F
U_10757,35-44,M
U_10758,25-34,F
U_10759,45+,M
U_10760,35-44,F
U_10761,18-24,M
U_10762,25-34,M
U_10763,18-24,F
U_10764,35-44,M
U_10765,18-24,F
U_10766,25-34,F
U_10767,35-44,F
U_10768,45+,M
U_10769,25-34,F
U_10770,35-44,F
U_10771,18-24,F
U_10772,35-44,F
U_10773,18-24,M
U_10774,25-34,M
U_10775,35-44,M
U_10776,18-24,M
U_10777,18-24,M
U_10778,35-44,F
U_10779,35-44,F
U_10780,35-44,M
U_10781,35-44,unknown
U_10782,25-34,F
U_10783,25-34,unknown
U_10784,25-34,F
U_10785,18-24,F
U_10786,45+,M
U_10787,25-34,M
U_10788,25-34,M
U_10789,25-34,F
U_10790,45+,M
U_10791,18-24,F
U_10792,25-34,M
U_10793,25-34,F
U_10794,35-44,M
U_10795,18-24,M
U_10796,45+,M
U_10797,45+,M
U_10798,25-34,M
U_10799,35-44,F
U_10800,45+,M
U_10801,35-44,M
U_10802,18-24,F
U_10803,25-34,M
U_10804,35-44,unknown
U_10805,25-34,unknown
U_10806,35-44,M
U_10807,45+,M
U_10808,45+,M
U_10809,25-34,F
U_10810,18-24,F
U_10811,45+,F
U_10812,35-44,F
U_10813,18-24,M
U_10814,45+,F
U_10815,45+,F
U_10816,25-34,F
U_10817,25-34,F
U_10818,25-34,F
U_10819,18-24,M
U_10820,25-34,M
U_10821,35-44,F
U_10822,18-24,M
U_10823,25-34,unknown
U_10824,25-34,M
U_10825,25-34,F
U_10826,45+,F
U_10827,25-34,M
U_10828,25-34,unknown
U_10829,35-44,F
U_10830,25-34,F
U_10831,18-24,M
U_10832,25-34,M
U_10833,18-24,M
U_10834,18-24,M
U_10835,25-34,F
U_10836,25-34,unknown
U_10837,45+,F
U_10838,25-34,F
U_10839,25-34,F
U_10840,35-44,F
U_10841,18-24,F
U_10842,35-44,F
U_10843,18-24,F
U_10844,45+,M
U_10845,18-24,M
U_10846,25-34,F
U_10847,18-24,F
U_10848,45+,F
U_10849,25-34,unknown
U_10850,25-34,M
U_10851,18-24,F
U_10852,35-44,M
U_10853,18-24,F
U_10854,45+,F
U_10855,18-24,M
U_10856,18-24,F
U_10857,18-24,F
U_10858,25-34,M
U_10859,25-34,F
U_10860,18-24,F
U_10861,35-44,unknown
U_10862,25-34,M
U_10863,25-34,M
U_10864,25-34,F
U_10865,25-34,M
U_10866,25-34,unknown
U_10867,18-24,M
U_10868,18-24,F
U_10869,45+,F
U_10870,45+,M
U_10871,25-34,M
U_10872,25-34,F
U_10873,35-44,F
U_10874,25-34,M
U_10875,18-24,unknown
U_10876,18-24,M
U_10877,35-44,M
U_10878,35-44,F
U_10879,18-24,M
U_10880,18-24,unknown
U_10881,18-24,M
U_10882,35-44,M
U_10883,18-24,M
U_10884,18-24,F
U_10885,35-44,F
U_10886,18-24,F
U_10887,35-44,M
U_10888,18-24,M
U_10889,18-24,F
U_10890,18-24,M
U_10891,35-44,F
U_10892,45+,M
U_10893,35-44,F
U_10894,25-34,M
U_10895,35-44,F
U_10896,18-24,M
U_10897,25-34,M
U_10898,45+,M
U_10899,18-24,M
U_10900,18-24,M
U_10901,18-24,F
U_10902,18-24,F
U_10903,18-24,F
U_10904,25-34,F
U_10905,25-34,F
U_10906,45+,M
U_10907,35-44,F
U_10908,25-34,M
U_10909,25-34,F
U_10910,25-34,M
U_10911,25-34,M
U_10912,25-34,F
U_10913,35-44,M
U_10914,25-34,F
U_10915,25-34,F
U_10916,25-34,M
U_10917,25-34,M
U_10918,45+,F
U_10919,35-44,F
U_10920,18-24,M
U_10921,45+,F
U_10922,25-34,F
U_10923,45+,M
U_10924,35-44,M
U_10925,25-34,F
U_10926,18-24,M
U_10927,25-34,F
U_10928,25-34,M
U_10929,35-44,F
U_10930,25-34,F
U_10931,18-24,F
U_10932,35-44,M
U_10933,45+,M
U_10934,25-34,F
U_10935,18-24,M
U_10936,25-34,M
U_10937,18-24,unknown
U_10938,45+,M
U_10939,18-24,M
U_10940,25-34,M
U_10941,25-34,F
U_10942,25-34,F
U_10943,35-44,M
U_10944,35-44,M
U_10945,18-24,M
U_10946,18-24,F
U_10947,18-24,M
U_10948,45+,unknown
U_10949,45+,M
U_10950,25-34,unknown
U_10951,35-44,M
U_10952,35-44,F
U_10953,18-24,M
U_10954,45+,M
U_10955,25-34,F
U_10956,25-34,F
U_10957,25-34,M
U_10958,18-24,F
U_10959,18-24,F
U_10960,35-44,F
U_10961,18-24,M
U_10962,35-44,F
U_10963,18-24,F
U_10964,25-34,M
U_10965,25-34,F
U_10966,25-34,M
U_10967,35-44,M
U_10968,25-34,F
U_10969,25-34,F
U_10970,25-34,M
U_10971,35-44,M
U_10972,45+,unknown
U_10973,35-44,M
U_10974,18-24,F
U_10975,18-24,F
U_10976,25-34,M
U_10977,25-34,unknown
U_10978,18-24,F
U_10979,25-34,F
U_10980,25-34,F
U_10981,25-34,F
U_10982,35-44,F
U_10983,18-24,F
U_10984,18-24,M
U_10985,35-44,M
U_10986,25-34,M
U_10987,35-44,M
U_10988,25-34,M
U_10989,18-24,F
U_10990,35-44,F
U_10991,35-44,F
U_10992,35-44,F
U_10993,25-34,F
U_10994,25-34,F
U_10995,25-34,F
U_10996,18-24,M
U_10997,45+,unknown
U_10998,18-24,F
U_10999,45+,M
U_11000,25-34,F
U_11001,18-24,F
U_11002,25-34,M
U_11003,45+,F
U_11004,35-44,M
U_11005,35-44,M
U_11006,35-44,unknown
U_11007,35-44,F
U_11008,35-44,F
U_11009,18-24,F
U_11010,25-34,M
U_11011,18-24,F
U_11012,45+,F
U_11013,45+,unknown
U_11014,18-24,M
U_11015,35-44,F
U_11016,45+,unknown
U_11017,18-24,F
U_11018,25-34,unknown
U_11019,45+,M
U_11020,18-24,unknown
U_11021,35-44,F
U_11022,25-34,M
U_11023,45+,unknown
U_11024,45+,F
U_11025,45+,F
U_11026,25-34,F
U_11027,45+,M
U_11028,35-44,F
U_11029,25-34,F
U_11030,35-44,M
U_11031,18-24,M
U_11032,25-34,M
U_11033,18-24,M
U_11034,18-24,F
U_11035,18-24,F
U_11036,35-44,unknown
U_11037,25-34,F
U_11038,35-44,M
U_11039,18-24,unknown
U_11040,25-34,F
U_11041,25-34,F
U_11042,35-44,F
U_11043,25-34,unknown
U_11044,35-44,F
U_11045,45+,M
U_11046,35-44,F
U_11047,18-24,M
U_11048,18-24,M
U_11049,45+,M
U_11050,18-24,M
U_11051,45+,M
U_11052,25-34,M
U_11053,45+,F
U_11054,35-44,F
U_11055,45+,unknown
U_11056,25-34,M
U_11057,35-44,F
U_11058,25-34,unknown
U_11059,25-34,M
U_11060,35-44,F
U_11061,45+,F
U_11062,45+,M
U_11063,35-44,F
U_11064,25-34,F
U_11065,25-34,M
U_11066,35-44,M
U_11067,18-24,M
U_11068,18-24,M
U_11069,25-34,F
U_11070,25-34,F
U_11071,25-34,M
U_11072,18-24,unknown
U_11073,18-24,M
U_11074,18-24,M
U_11075,45+,M
U_11076,25-34,F
U_11077,25-34,M
U_11078,35-44,M
U_11079,18-24,M
U_11080,45+,F
U_11081,35-44,unknown
U_11082,18-24,M
U_11083,25-34,M
U_11084,45+,F
U_11085,45+,F
U_11086,25-34,M
U_11087,35-44,unknown
U_11088,18-24,F
U_11089,45+,F
U_11090,18-24,F
U_11091,45+,unknown
U_11092,35-44,F
U_11093,35-44,M
U_11094,25-34,M
U_11095,18-24,F
U_11096,18-24,M
U_11097,18-24,F
U_11098,18-24,F
U_11099,35-44,F
U_11100,25-34,unknown
U_11101,18-24,M
U_11102,45+,F
U_11103,45+,F
U_11104,45+,M
U_11105,45+,F
U_11106,18-24,M
U_11107,25-34,F
U_11108,35-44,F
U_11109,35-44,M
U_11110,18-24,F
U_11111,35-44,F
U_11112,18-24,M
U_11113,18-24,M
U_11114,25-34,M
U_11115,25-34,F
U_11116,25-34,F
U_11117,18-24,unknown
U_11118,45+,F
U_11119,25-34,F
U_11120,18-24,M
U_11121,45+,F
U_11122,45+,M
U_11123,45+,M
U_11124,35-44,F
U_11125,35-44,M
U_11126,25-34,F
U_11127,18-24,F
U_11128,25-34,M
U_11129,25-34,M
U_11130,25-34,F
U_11131,35-44,F
U_11132,25-34,M
U_11133,18-24,M
U_11134,18-24,F
U_11135,35-44,F
U_11136,18-24,M
U_11137,45+,M
U_11138,25-34,F
U_11139,25-34,F
U_11140,25-34,unknown
U_11141,35-44,F
U_11142,25-34,unknown
U_11143,35-44,M
U_11144,25-34,F
U_11145,25-34,M
U_11146,45+,F
U_11147,35-44,F
U_11148,35-44,M
U_11149,45+,F
U_11150,45+,F
U_11151,35-44,M
U_11152,35-44,F
U_11153,35-44,M
U_11154,35-44,M
U_11155,35-44,F
U_11156,35-44,M
U_11157,18-24,unknown
U_11158,45+,M
U_11159,45+,F
U_11160,18-24,F
U_11161,35-44,M
U_11162,18-24,M
U_11163,25-34,F
U_11164,35-44,F
U_11165,18-24,M
U_11166,35-44,F
U_11167,35-44,M
U_11168,25-34,M
U_11169,18-24,F
U_11170,25-34,M
U_11171,35-44,F
U_11172,45+,F
U_11173,35-44,unknown
U_11174,25-34,F
U_11175,35-44,unknown
U_11176,25-34,F
U_11177,35-44,F
U_11178,18-24,unknown
U_11179,35-44,F
U_11180,25-34,M
U_11181,45+,F
U_11182,25-34,unknown
U_11183,35-44,F
U_11184,45+,F
U_11185,18-24,F
U_11186,45+,unknown
U_11187,35-44,M
U_11188,18-24,F
U_11189,25-34,M
U_11190,35-44,F
U_11191,18-24,F
U_11192,25-34,M
U_11193,25-34,M
U_11194,35-44,F
U_11195,18-24,M
U_11196,45+,M
U_11197,45+,F
U_11198,45+,M
U_11199,35-44,F
U_11200,18-24,unknown
U_11201,35-44,M
U_11202,18-24,M
U_11203,18-24,F
U_11204,25-34,F
U_11205,25-34,unknown
U_11206,35-44,unknown
U_11207,35-44,F
U_11208,25-34,M
U_11209,25-34,M
U_11210,45+,M
U_11211,25-34,M
U_11212,25-34,F
U_11213,18-24,F
U_11214,35-44,M
U_11215,35-44,F
U_11216,18-24,M
U_11217,18-24,M
U_11218,35-44,F
U_11219,35-44,M
U_11220,25-34,M
U_11221,45+,M
U_11222,18-24,M
U_11223,25-34,F
U_11224,45+,unknown
U_11225,25-34,M
U_11226,35-44,M
U_11227,25-34,F
U_11228,25-34,unknown
U_11229,45+,M
U_11230,25-34,M
U_11231,45+,F
U_11232,18-24,F
U_11233,18-24,M
U_11234,18-24,F
U_11235,35-44,M
U_11236,25-34,F
U_11237,45+,F
U_11238,25-34,F
U_11239,45+,F
U_11240,18-24,M
U_11241,45+,M
U_11242,35-44,F
U_11243,35-44,M
U_11244,35-44,M
U_11245,35-44,M
U_11246,35-44,F
U_11247,18-24,F
U_11248,18-24,M
U_11249,45+,M
U_11250,35-44,F
U_11251,35-44,F
U_11252,25-34,F
U_11253,18-24,F
U_11254,18-24,unknown
U_11255,35-44,M
U_11256,25-34,unknown
U_11257,18-24,M
U_11258,25-34,M
U_11259,18-24,F
U_11260,25-34,M
U_11261,25-34,M
U_11262,35-44,M
U_11263,25-34,F
U_11264,25-34,M
U_11265,18-24,F
U_11266,18-24,F
