user_id,age,gender,city_tier,membership_level,historical_gmv,historical_orders,activity_score,coupon_sensitivity,treatment,gmv
10045,20,1,4,0,53.41,0,9.73,0.377,0,72.97
10046,27,1,4,0,196.52,0,43.42,0.429,1,101.26
10047,30,0,1,1,2200.08,1,21.56,0.553,1,341.29
10048,45,0,1,1,75.56,0,26.57,0.448,1,127.74
10049,38,0,2,0,41.31,0,39.15,0.527,0,81.05
10050,18,1,2,1,286.89,0,32.58,0.173,0,121.03
10051,38,1,1,0,110.13,0,12.35,0.536,0,76.29
10052,31,0,2,1,329.74,1,34.14,0.715,0,136.13
10053,28,1,3,1,136.33,0,64.27,0.203,0,115.93
10054,41,0,3,1,53.06,0,19.55,0.569,1,109.13
10055,45,1,3,0,2486.55,5,28.49,0.3,0,371.3
10056,44,1,2,1,4.28,0,17.28,0.338,1,92.53
10057,26,1,3,1,1318.55,2,44.41,0.432,1,269.95
10058,31,1,3,1,454.83,1,33.21,0.099,0,115.76
10059,38,1,2,1,60.66,0,19.85,0.353,0,89.89
10060,44,1,1,1,1403.75,1,27.9,0.571,1,258.11
10061,30,1,2,0,28.63,0,49.29,0.559,1,129.4
10062,33,0,1,0,497.57,1,8.33,0.435,1,135.81
10063,23,0,2,0,12.19,0,14.05,0.376,1,121.41
10064,23,0,2,1,37.52,0,39.83,0.095,0,79.49
10065,43,1,2,1,37.41,0,28.59,0.381,1,95.43
10066,48,0,2,2,60.29,0,2.11,0.719,0,83.41
10067,34,0,3,2,150.49,0,48.46,0.756,1,197.69
10068,45,1,1,2,55.08,0,3.22,0.208,0,89.27
10069,38,0,3,1,12.89,0,29.11,0.028,0,76.93
10070,28,1,2,1,258.82,0,12.71,0.129,0,62.57
10071,38,1,1,2,157.39,1,19.6,0.514,1,150.32
10072,50,1,4,0,242.43,0,33.83,0.314,0,88.44
10073,34,1,3,1,182.42,0,69.5,0.524,0,75.26
10074,50,1,1,0,466.42,1,31.46,0.44,1,117.16
10075,18,1,3,3,135.56,1,6.31,0.083,0,60.39
10076,43,0,3,1,500.21,2,18.39,0.337,1,161.75
10077,35,1,2,0,58.51,0,19.17,0.271,1,106.11
10078,32,0,2,1,62.65,0,53.25,0.911,0,99.71
10079,35,0,4,0,773.75,2,13.48,0.202,0,165.27
10080,18,1,2,3,755.06,3,33.17,0.411,0,163.85
10081,32,0,2,1,295.45,1,48.64,0.129,0,93.83
10082,38,0,2,1,51.06,0,25.56,0.354,0,93.46
10083,49,0,3,1,46.36,1,31.11,0.519,0,75.74
10084,29,0,4,2,730.46,4,50.91,0.536,1,223.73
10085,26,0,3,2,683.48,5,0.81,0.526,0,148.76
10086,29,0,3,2,137.51,0,14.7,0.158,1,109.88
10087,44,1,4,2,2465.78,2,35.15,0.8,1,371.86
10088,38,1,3,0,257.41,0,48.62,0.164,0,82.67
10089,29,0,3,3,39.31,1,25.6,0.581,0,99.6
10090,40,1,4,1,106.62,0,26.4,0.154,0,114.46
10091,35,0,1,2,149.39,1,28.48,0.13,0,105.46
10092,44,0,3,1,164.63,0,63.17,0.495,0,121.72
10093,27,0,3,0,665.14,0,50.03,0.312,0,179.42
10094,31,1,4,1,47.11,0,34.49,0.173,0,95.03
10095,31,0,4,0,30.03,1,2.31,0.55,0,33.17
10096,20,1,3,1,305.76,2,50.51,0.375,0,95.53
10097,37,1,4,1,80.77,0,8.23,0.41,1,106.19
10098,37,1,3,0,2719.51,6,21.48,0.213,1,345.99
10099,35,1,1,3,460.29,0,28.84,0.299,1,143.05
10100,32,1,1,3,79.01,0,23.55,0.325,0,97.56
10101,20,0,3,2,636.14,1,16.55,0.361,0,127.55
10102,30,0,2,2,356.56,0,16.16,0.65,0,139.34
10103,31,1,2,1,317.49,2,14.06,0.078,0,129.53
10104,26,1,2,1,128.16,1,19.29,0.553,0,78.81
10105,33,0,4,0,245.81,0,33.17,0.406,0,79.89
10106,39,0,2,3,11.9,0,33.06,0.112,0,77.53
10107,53,1,4,2,720.9,2,10.85,0.255,1,175.5
10108,36,0,4,2,2.4,0,16.87,0.109,0,106.53
10109,37,0,2,3,87.31,0,25.16,0.3,0,116.27
10110,34,1,2,1,21.87,0,3.56,0.248,1,127.17
10111,18,1,3,1,81.37,1,85.94,0.223,1,162.91
10112,34,1,3,3,135.78,0,57.82,0.142,0,122.35
10113,35,1,2,1,35.3,0,55.05,0.382,1,161.42
10114,59,1,1,1,5.32,0,24.33,0.144,0,45.47
10115,33,0,2,1,190.28,0,21.69,0.325,0,64.87
10116,38,0,1,1,1814.79,3,2.65,0.372,1,274.39
10117,34,1,2,2,97.36,0,36.19,0.547,0,93.57
10118,23,1,2,1,469.28,0,38.4,0.37,0,136.83
10119,46,0,3,1,902.58,1,44.14,0.497,0,148.3
10120,42,1,4,1,15.18,0,20.88,0.266,0,82.43
10121,42,1,3,1,85.74,0,30.76,0.791,0,66.56
10122,25,0,4,3,32.08,0,32.36,0.717,1,158.77
10123,49,0,3,0,56.4,0,53.44,0.194,1,164.95
10124,20,0,3,0,1144.15,0,10.79,0.191,1,197.32
10125,40,1,2,0,194.11,0,9.57,0.472,0,73.48
10126,56,1,2,3,382.45,0,15.11,0.307,0,129.72
10127,25,0,3,1,140.8,0,17.06,0.642,1,139.8
10128,29,1,4,3,34.72,0,39.9,0.456,0,136.94
10129,35,1,2,1,334.87,0,48.92,0.23,1,156.44
10130,29,1,1,1,667.2,1,70.61,0.295,0,169.89
10131,19,1,3,2,217.21,0,9.25,0.706,1,123.57
10132,35,0,2,0,266.92,1,23.57,0.316,1,128.02
10133,24,1,1,1,33.72,0,10.93,0.119,0,93.12
10134,39,0,3,1,346.62,1,42.43,0.258,1,126.27
10135,25,1,3,0,746.37,1,9.19,0.087,0,105.48
10136,50,0,3,1,241.17,1,41.71,0.216,0,127.89
10137,27,1,4,0,17.18,0,27.72,0.428,0,73.31
10138,31,1,3,0,1056.54,0,21.6,0.543,1,208.24
10139,43,0,3,1,47.76,0,37.55,0.049,0,89.66
10140,22,0,2,2,236.36,1,33.93,0.118,0,95.17
10141,37,1,2,0,465.71,2,26.1,0.466,1,107.99
10142,48,1,3,1,542.15,1,12.49,0.316,1,134.09
10143,18,0,2,0,17.11,0,23.76,0.783,0,24.05
10144,36,1,2,1,170.83,0,31.71,0.107,1,130.27
10145,37,0,1,1,157.78,0,19.25,0.138,0,89.24
10146,42,0,2,2,834.5,2,38.61,0.117,1,201.87
10147,22,0,2,2,257.36,1,45.1,0.284,0,76.02
10148,21,0,3,0,843.65,2,51.22,0.259,0,184.41
10149,40,1,2,0,283.7,1,27.08,0.212,1,131.51
10150,37,1,1,0,135.78,0,5.84,0.307,1,100.88
10151,37,0,3,3,187.28,1,23.33,0.282,1,135.58
10152,38,1,4,1,923.63,2,6.83,0.46,1,213.71
10153,28,0,2,0,31.3,0,27.35,0.444,1,130.15
10154,37,1,3,0,440.16,0,61.07,0.656,1,150.15
10155,37,0,3,1,69.89,0,19.26,0.682,0,96.03
10156,27,1,3,0,54.0,0,45.12,0.519,0,38.42
10157,53,1,2,2,506.8,0,30.67,0.267,0,140.17
10158,39,0,4,1,51.43,0,22.3,0.5,0,121.73
10159,23,1,3,1,233.34,0,13.2,0.192,0,75.06
10160,41,0,3,1,82.54,0,17.83,0.55,0,34.84
10161,25,0,2,0,8.77,0,15.85,0.274,0,93.97
10162,42,0,3,1,263.29,0,18.16,0.28,0,120.63
10163,46,0,3,2,172.71,0,20.42,0.365,1,144.0
10164,26,0,2,1,15.0,0,29.54,0.404,0,91.28
10165,44,0,2,1,64.18,0,12.51,0.325,0,51.59
10166,39,0,3,2,16.97,0,21.12,0.448,1,165.43
10167,43,0,1,0,357.1,1,8.58,0.631,1,158.16
10168,53,1,3,1,784.93,2,49.94,0.356,1,203.61
10169,32,1,1,1,411.33,0,56.58,0.665,0,122.1
10170,27,0,2,2,486.36,1,14.93,0.24,0,149.89
10171,26,0,3,0,79.73,1,20.75,0.538,1,138.1
10172,26,0,1,1,286.09,2,54.59,0.274,1,185.57
10173,34,1,4,0,146.81,0,27.22,0.123,0,77.37
10174,38,1,4,0,185.37,1,26.43,0.235,0,70.13
10175,37,1,3,2,468.21,1,10.61,0.835,1,182.12
10176,43,0,3,1,608.25,0,36.83,0.231,0,153.99
10177,35,0,4,2,92.97,0,45.57,0.163,1,166.36
10178,49,0,2,1,27.41,0,14.69,0.324,1,117.7
10179,32,1,3,1,118.52,0,52.64,0.592,0,104.37
10180,62,1,2,2,114.08,0,49.58,0.501,1,154.33
10181,41,0,2,1,208.83,1,18.58,0.281,0,93.04
10182,26,1,3,0,403.27,0,19.5,0.249,0,122.18
10183,24,0,3,0,14.92,1,21.13,0.246,0,32.96
10184,39,0,1,0,66.35,0,78.64,0.076,1,117.43
10185,32,1,2,1,46.68,0,30.35,0.276,1,88.73
10186,42,1,3,3,665.86,3,48.17,0.322,1,203.0
10187,39,0,2,2,115.58,0,14.55,0.716,0,96.77
10188,34,0,3,3,80.2,0,24.25,0.344,0,52.54
10189,26,1,3,3,283.15,1,51.92,0.52,0,107.33
10190,19,1,2,1,72.85,0,26.48,0.491,1,138.33
10191,30,1,1,0,145.73,0,69.19,0.167,0,57.71
10192,43,0,3,1,1308.83,2,17.76,0.219,0,205.4
10193,37,0,2,2,1265.91,2,5.82,0.607,1,252.76
10194,22,1,2,1,91.03,0,44.14,0.595,0,98.89
10195,36,1,2,1,119.24,0,12.3,0.401,0,63.14
10196,38,0,2,0,70.61,0,24.05,0.131,0,95.97
10197,26,1,1,1,14.72,0,74.76,0.041,1,139.86
10198,36,1,3,1,514.62,2,55.37,0.252,1,167.9
10199,35,0,3,1,2712.46,2,23.96,0.554,1,369.19
10200,23,0,3,2,87.17,0,21.41,0.481,1,165.7
10201,38,1,3,0,55.69,0,33.46,0.765,1,159.61
10202,40,1,1,3,106.97,0,24.98,0.615,0,119.1
10203,45,1,2,0,164.36,1,74.46,0.295,1,121.84
10204,45,1,3,3,37.99,0,32.99,0.246,0,97.28
10205,21,0,3,1,85.61,1,46.26,0.634,1,144.69
10206,25,0,3,2,501.64,2,45.65,0.662,1,185.73
10207,40,1,3,0,172.92,0,33.79,0.152,0,98.96
10208,40,0,3,1,681.61,1,18.81,0.157,0,182.02
10209,40,1,1,2,229.92,0,6.47,0.462,0,78.4
10210,65,1,3,0,40.18,0,22.66,0.352,0,29.4
10211,40,1,3,0,74.35,0,17.8,0.335,0,67.82
10212,46,0,4,1,199.96,0,13.52,0.269,1,148.95
10213,44,1,3,0,38.59,0,12.29,0.104,0,68.83
10214,41,1,3,0,33.02,0,3.16,0.345,0,44.24
10215,31,1,3,1,35.49,0,10.76,0.22,0,30.15
10216,42,1,4,0,275.6,0,21.25,0.472,0,125.02
10217,27,0,4,1,95.63,0,14.36,0.609,0,38.36
10218,32,0,3,2,613.35,2,32.49,0.776,1,241.65
10219,30,0,3,1,50.62,0,56.74,0.27,1,142.0
10220,35,0,1,0,7.78,0,10.69,0.716,1,81.37
10221,58,1,3,1,126.87,0,29.73,0.474,0,73.1
10222,18,1,3,1,1071.77,5,40.25,0.402,0,215.77
10223,41,1,3,1,154.7,0,8.84,0.322,0,50.34
10224,18,1,1,1,28.6,0,51.56,0.885,0,50.36
10225,30,0,3,3,21.13,0,30.61,0.452,0,64.88
10226,45,1,2,2,624.83,0,32.34,0.244,0,167.99
10227,35,0,3,0,56.32,0,7.02,0.076,0,48.66
10228,24,0,2,1,944.03,1,20.72,0.214,1,200.26
10229,27,1,3,1,325.35,1,30.71,0.073,0,85.36
10230,41,1,2,3,58.94,0,11.73,0.198,1,164.35
10231,27,1,1,3,602.18,1,8.81,0.718,1,178.33
10232,37,0,3,1,48.98,0,26.18,0.147,0,73.91
10233,35,1,1,1,26.13,0,39.91,0.378,1,130.89
10234,28,0,3,1,52.45,0,20.5,0.368,0,96.09
10235,56,0,4,1,373.34,0,28.58,0.405,1,181.61
10236,41,1,4,0,581.47,0,30.11,0.072,0,124.45
10237,18,1,2,1,92.27,0,45.38,0.687,0,124.76
10238,36,1,3,1,15.77,0,40.75,0.204,1,142.31
10239,28,1,2,1,22.92,0,13.64,0.472,0,54.98
10240,43,1,4,1,41.22,0,57.1,0.508,0,76.03
10241,27,1,3,2,31.41,0,51.08,0.315,0,85.69
10242,33,1,1,1,204.08,0,32.38,0.09,0,78.45
10243,40,1,2,1,1518.9,1,26.88,0.076,0,208.15
10244,43,1,2,2,385.65,2,37.8,0.22,1,165.48
10245,22,1,3,1,38.33,0,33.67,0.355,0,61.65
10246,31,0,2,0,64.51,0,43.64,0.599,0,48.92
10247,30,1,3,0,81.52,0,8.81,0.582,0,56.76
10248,28,1,3,0,236.76,1,32.57,0.71,0,104.41
10249,52,0,4,0,978.0,1,13.86,0.51,1,209.39
10250,39,1,4,2,84.7,0,19.22,0.467,0,137.64
10251,22,0,2,1,940.61,1,15.99,0.164,0,141.23
10252,44,1,3,0,1853.24,1,48.6,0.282,0,215.52
10253,56,1,3,2,97.53,0,60.98,0.728,1,188.1
10254,45,0,4,1,94.56,0,14.93,0.292,0,70.8
10255,19,0,1,1,96.28,0,18.13,0.691,0,88.7
10256,30,1,2,0,159.97,1,4.67,0.145,0,75.77
10257,47,0,2,0,96.56,0,53.09,0.657,1,180.92
10258,27,0,2,1,428.81,1,7.91,0.384,0,82.71
10259,39,0,2,2,23.14,0,20.7,0.666,0,87.92
10260,42,1,2,0,78.14,1,13.33,0.202,0,54.81
10261,25,1,3,1,220.3,0,29.42,0.33,0,35.62
10262,34,1,2,3,421.62,0,44.21,0.642,0,161.92
10263,18,1,3,1,2068.01,2,23.15,0.602,1,352.92
10264,24,1,1,1,31.6,0,22.01,0.205,0,81.46
10265,32,1,4,2,67.87,0,43.93,0.578,1,179.09
10266,22,0,4,2,9.78,0,13.08,0.219,1,92.33
10267,51,1,3,1,39.18,0,5.95,0.576,0,71.8
10268,20,1,4,2,17.77,0,29.14,0.571,0,87.98
10269,30,1,1,1,79.4,0,23.19,0.62,0,83.27
10270,36,0,3,2,112.84,0,31.67,0.453,0,73.88
10271,49,0,1,3,260.69,0,17.04,0.426,0,144.11
10272,20,0,2,1,103.72,1,45.05,0.554,1,182.82
10273,46,0,2,1,260.84,0,14.61,0.053,0,93.47
10274,35,1,3,1,170.19,2,20.31,0.385,0,96.93
10275,25,0,2,2,42.95,0,20.29,0.045,0,81.4
10276,39,1,3,2,19.62,0,11.26,0.17,0,46.87
10277,36,0,2,0,298.99,0,34.2,0.095,1,106.02
10278,28,0,4,2,1070.42,2,46.96,0.404,1,284.32
10279,35,1,3,2,3110.26,6,12.19,0.325,1,398.78
10280,31,0,2,2,456.02,2,55.71,0.437,1,156.51
10281,36,1,2,2,853.22,2,19.18,0.599,1,200.75
10282,41,0,3,0,258.2,2,32.26,0.476,1,182.62
10283,50,0,2,1,213.24,1,62.3,0.414,0,88.41
10284,22,1,3,2,169.56,1,21.2,0.416,0,149.02
10285,56,1,3,3,130.72,0,70.17,0.658,0,156.3
10286,18,0,2,0,307.51,2,45.58,0.327,1,124.88
10287,33,0,2,1,79.46,1,33.02,0.233,1,150.03
10288,40,1,2,2,124.35,1,75.23,0.483,0,98.5
10289,37,1,2,2,36.11,0,68.7,0.145,1,129.11
10290,28,1,2,1,262.41,0,17.67,0.837,0,101.49
10291,32,0,1,0,46.95,0,28.93,0.354,1,138.15
10292,30,1,2,2,154.55,0,46.47,0.53,1,164.05
10293,29,0,2,2,270.59,0,48.83,0.462,1,171.45
10294,43,0,4,2,299.79,1,24.7,0.362,0,99.63
10295,38,1,3,2,374.58,0,16.06,0.477,0,118.83
10296,28,0,3,1,114.9,1,18.84,0.186,0,83.82
10297,43,0,1,3,265.94,1,8.83,0.345,0,116.73
10298,38,0,1,2,82.77,0,4.06,0.299,0,99.83
10299,43,0,3,1,13.94,0,31.37,0.1,0,60.4
10300,41,1,3,3,280.44,2,26.89,0.184,1,172.3
10301,26,1,2,3,212.34,1,15.98,0.326,1,158.23
10302,29,0,2,2,500.69,2,54.7,0.44,0,154.11
10303,42,1,3,1,143.98,0,48.9,0.121,0,133.93
10304,41,1,3,1,21.68,0,35.75,0.396,1,127.5
10305,34,1,1,1,132.96,0,15.11,0.41,0,73.81
10306,36,0,3,0,430.05,1,13.92,0.31,0,86.61
10307,47,1,3,1,262.76,1,13.0,0.314,0,81.72
10308,29,1,4,1,124.45,0,27.2,0.552,1,149.16
10309,40,0,3,0,20.16,0,38.39,0.673,1,82.74
10310,32,0,2,3,43.33,0,6.75,0.276,1,98.9
10311,32,0,3,1,263.14,0,71.53,0.646,1,173.09
10312,45,1,3,1,20.12,0,17.38,0.21,0,49.06
10313,43,0,3,1,101.3,0,29.91,0.259,0,106.53
10314,43,1,3,0,155.42,0,24.1,0.041,0,103.64
10315,48,0,4,2,589.88,0,19.11,0.31,0,139.62
10316,35,1,1,1,310.25,3,11.69,0.513,0,99.81
10317,41,0,1,1,471.24,2,9.76,0.249,0,111.42
10318,31,1,3,1,213.2,0,18.73,0.274,0,59.08
10319,38,1,2,1,53.81,0,42.72,0.113,1,98.22
10320,33,0,1,1,71.07,1,36.12,0.263,0,45.92
10321,35,1,2,0,48.46,0,35.46,0.304,0,57.08
10322,40,0,3,0,301.55,0,17.66,0.596,0,112.22
10323,26,1,1,1,64.54,0,13.14,0.322,0,87.33
10324,55,1,3,2,92.5,1,8.89,0.518,0,70.38
10325,24,0,1,1,152.47,0,19.27,0.442,0,76.82
10326,22,0,1,0,1063.77,1,36.91,0.231,0,152.01
10327,46,0,2,0,326.54,2,41.25,0.404,0,115.49
10328,42,1,1,1,58.71,0,34.38,0.168,0,117.07
10329,41,1,3,1,178.08,0,21.19,0.537,1,180.62
10330,41,1,4,0,1076.61,2,19.18,0.645,0,189.6
10331,34,0,3,1,310.51,0,22.58,0.279,0,77.93
10332,26,0,2,0,21.8,0,30.6,0.585,0,64.81
10333,35,1,3,1,49.49,0,19.35,0.199,0,74.64
10334,28,0,2,1,45.14,0,42.65,0.422,0,55.67
10335,44,1,2,3,836.21,3,27.46,0.203,1,225.76
10336,33,0,3,0,670.17,2,34.75,0.546,1,158.99
10337,26,0,3,1,70.1,0,32.61,0.809,1,204.25
10338,31,1,1,3,68.31,0,45.7,0.209,0,94.44
10339,39,1,2,1,156.59,0,21.5,0.378,0,95.73
10340,29,1,4,1,162.33,0,21.63,0.602,1,113.42
10341,26,0,2,1,46.77,0,23.26,0.14,0,52.28
10342,37,0,4,0,110.06,0,27.84,0.414,0,48.4
10343,37,1,4,1,25.94,0,34.61,0.609,0,106.77
10344,29,1,3,3,683.2,2,16.36,0.166,1,178.12
10345,30,1,2,1,17.95,0,18.7,0.877,1,134.19
10346,37,0,3,1,17.71,0,32.46,0.248,1,157.28
10347,20,1,2,1,250.15,1,37.36,0.194,1,111.28
10348,20,1,2,1,33.64,0,39.32,0.594,1,176.48
10349,27,1,3,1,81.36,1,11.94,0.611,0,69.97
10350,32,1,2,0,160.1,0,37.88,0.449,0,109.12
10351,38,0,2,1,333.74,1,44.81,0.521,1,151.61
10352,49,1,3,1,113.83,0,57.4,0.285,0,119.38
10353,43,1,3,2,1255.14,7,9.16,0.117,1,229.84
10354,33,1,1,1,148.33,0,31.4,0.202,1,88.74
10355,34,1,2,1,619.53,1,31.43,0.077,0,90.25
10356,24,1,2,0,207.32,0,23.0,0.617,0,114.47
10357,34,1,2,0,1914.96,3,37.43,0.081,0,212.61
10358,32,0,3,1,528.5,1,17.66,0.523,1,167.94
10359,38,0,3,2,156.36,0,19.76,0.112,0,75.17
10360,26,0,3,1,315.64,2,19.59,0.519,0,78.83
10361,40,0,1,1,108.53,0,11.53,0.465,0,106.71
10362,50,0,1,3,107.22,0,25.63,0.064,0,100.21
10363,33,0,2,0,31.06,0,23.21,0.098,1,83.51
10364,39,0,2,2,56.27,0,31.36,0.621,1,150.52
10365,41,0,1,1,1760.17,5,41.83,0.626,1,343.36
10366,30,0,2,1,34.99,0,9.35,0.636,0,71.19
10367,37,0,1,3,67.59,0,36.88,0.368,0,92.2
10368,35,1,3,2,132.63,0,46.0,0.556,1,172.18
10369,35,1,3,1,138.04,0,44.29,0.6,1,131.01
10370,27,0,3,1,235.21,1,43.46,0.131,0,118.2
10371,35,1,1,1,84.53,0,42.34,0.4,0,108.64
10372,39,1,4,0,253.27,0,15.87,0.169,0,74.4
10373,49,0,4,3,584.56,3,32.63,0.383,1,188.75
10374,44,1,2,0,678.55,2,49.55,0.247,0,148.02
10375,56,1,3,1,107.66,0,48.1,0.317,0,96.6
10376,27,1,3,2,309.08,0,63.49,0.275,1,195.27
10377,43,0,3,2,37.51,0,16.16,0.625,0,99.86
10378,36,1,2,1,62.42,0,23.34,0.531,0,72.51
10379,56,0,2,2,36.29,0,12.04,0.55,0,65.64
10380,26,1,3,1,140.49,0,19.68,0.472,0,62.63
10381,26,1,2,2,52.93,0,14.9,0.212,0,67.86
10382,29,1,4,1,23.93,0,7.85,0.303,0,42.8
10383,18,1,3,3,93.39,0,23.36,0.433,0,126.25
10384,29,0,2,0,18.65,1,10.29,0.58,0,64.92
10385,27,1,3,1,729.7,2,15.83,0.44,1,159.71
10386,36,1,3,1,76.02,0,10.78,0.389,0,75.3
10387,38,0,1,2,484.14,2,31.21,0.191,0,131.99
10388,53,1,2,2,82.23,0,52.95,0.512,1,174.06
10389,44,0,4,0,35.38,0,38.9,0.375,1,139.45
10390,29,0,3,0,608.28,2,15.57,0.46,0,144.28
10391,26,1,2,1,165.08,0,35.81,0.095,0,72.99
10392,39,0,1,1,1428.37,3,26.01,0.309,0,187.82
10393,21,1,3,1,84.79,0,48.38,0.804,1,181.51
10394,53,0,3,1,87.02,0,57.66,0.632,1,144.85
10395,46,0,2,1,495.59,2,51.28,0.292,1,158.84
10396,30,1,3,1,499.75,3,8.84,0.577,1,157.56
10397,18,0,1,3,178.42,0,4.23,0.353,1,154.4
10398,48,1,1,0,8121.92,9,16.39,0.435,1,892.75
10399,33,1,3,1,105.99,0,23.83,0.353,0,108.28
10400,47,1,1,1,32.35,0,32.94,0.425,1,141.88
10401,19,1,4,0,44.56,1,22.98,0.353,0,97.29
10402,29,1,1,1,106.73,0,39.88,0.443,1,157.61
10403,35,0,3,1,918.31,1,2.59,0.403,1,203.76
10404,35,1,2,0,118.67,1,69.49,0.776,0,122.49
10405,30,0,2,1,971.91,1,11.67,0.094,1,207.52
10406,41,1,3,1,249.96,2,3.13,0.839,0,118.45
10407,24,1,2,0,544.6,0,25.2,0.306,0,74.06
10408,33,1,3,1,236.18,0,10.12,0.346,1,124.53
10409,36,1,3,1,233.95,0,26.9,0.508,0,75.39
10410,40,1,3,0,366.23,0,24.2,0.624,0,65.08
10411,42,1,3,0,75.18,0,4.37,0.292,0,73.64
10412,23,1,3,1,76.18,0,15.59,0.472,0,115.2
10413,19,0,3,2,225.76,1,13.12,0.198,0,91.89
10414,47,0,3,3,1524.37,3,30.45,0.324,0,248.63
10415,38,1,4,0,23.36,2,37.92,0.354,0,78.97
10416,27,1,2,0,13.0,0,31.27,0.421,0,53.61
10417,50,0,3,0,108.15,1,25.84,0.229,1,119.01
10418,36,0,1,1,511.33,0,14.23,0.439,0,155.36
10419,46,0,2,1,157.85,0,35.05,0.393,1,130.74
10420,35,1,2,1,36.48,0,38.1,0.474,0,71.47
10421,55,1,3,2,163.19,1,44.96,0.532,1,155.08
10422,52,0,3,1,18.55,0,15.85,0.185,0,62.31
10423,32,0,3,3,315.67,1,42.79,0.43,1,188.15
10424,44,0,1,0,102.42,0,31.87,0.164,0,54.76
10425,41,0,2,0,134.5,0,19.39,0.517,0,73.4
10426,48,0,4,0,247.8,1,26.67,0.246,0,79.17
10427,25,1,2,0,189.96,0,67.62,0.227,0,109.4
10428,41,1,1,3,77.52,0,43.1,0.471,1,174.94
10429,45,0,2,1,513.03,1,24.78,0.562,0,126.4
10430,18,0,3,1,386.19,3,19.05,0.498,1,174.12
10431,23,0,2,1,17.65,0,50.86,0.688,1,131.3
10432,18,1,2,0,112.59,1,50.83,0.37,0,86.22
10433,32,0,3,0,40.6,0,22.3,0.302,0,67.51
10434,42,0,2,1,32.41,0,42.17,0.544,0,81.08
10435,50,0,3,1,282.07,0,46.47,0.294,1,146.85
10436,35,1,2,3,89.74,0,33.77,0.884,1,177.26
10437,51,1,2,1,125.05,1,14.75,0.23,0,92.81
10438,21,1,3,1,66.45,0,32.72,0.601,0,69.61
10439,18,0,3,0,231.41,0,34.31,0.466,0,92.71
10440,34,1,3,2,334.96,0,53.45,0.551,0,145.86
10441,38,1,3,0,2006.82,3,38.18,0.182,1,312.78
10442,34,0,2,3,119.44,1,18.69,0.319,0,83.36
10443,18,0,1,1,26.1,0,31.14,0.589,0,82.05
10444,34,1,2,0,81.07,0,20.89,0.471,0,69.96
10445,21,0,4,1,410.13,0,37.63,0.37,0,124.93
10446,41,0,4,3,58.72,0,35.18,0.346,0,117.92
10447,38,1,4,1,25.06,0,48.81,0.405,0,73.95
